Parameter_Name,Type,Mean,Std
k_L_pm0,unknown,-3.50655789731998,1.15129254649702
k_L_pm,unknown,2.30258509299405,1.15129254649702
Theta_T,unknown,3.40119738166216,1.15129254649702
Theta_aTc,unknown,2.30258509299405,1.15129254649702
n_aTc,unknown,2.5,1.25
n_T,unknown,2.5,1.25
k_T_pm0,unknown,-2.30258509299405,1.15129254649702
k_T_pm,unknown,2.22044604925031e-16,1.15129254649702
Theta_L,unknown,3.40119738166216,1.15129254649702
Theta_IPTG,unknown,-2.30258509299405,1.15129254649702
n_IPTG,unknown,2.5,1.25
n_L,unknown,2.5,1.25
k_IPTG,unknown,-3.2188758248682,1.15129254649702
k_in_IPTG,unknown,-3.2188758248682,1.15129254649702
k_out_IPTG,unknown,-3.2188758248682,1.15129254649702
k_aTc,unknown,-2.30258509299405,1.15129254649702
k_in_aTc,unknown,-2.30258509299405,1.15129254649702
k_out_aTc,unknown,-2.30258509299405,1.15129254649702
g_Lm,fixed,0.1386,0
g_Tm,fixed,0.1386,0
g_Lp,fixed,0.0165,0
g_Tp,fixed,0.0165,0
